rank,alert_type,cluster_id,description,keywords,growth_rate,recency,novelty,current_count,baseline_mean,statistical_score,top_products,top_companies,top_states,example_ids,grouping
1,surging,2102,"Topic 2102: information, belongs, incorrect, report",information; belongs; incorrect; report,17.38,0.60,0.0,643,37.0,1.000,Credit reporting or other personal consumer reports (1082); Credit reporting (107); Credit card (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (417); Experian Information Solutions Inc. (414); EQUIFAX, INC. (320)",FL (194); TX (161); CA (111),2464373; 2473711; 2478668; 2480690; 2480820,
2,surging,683,"Topic 683: incorrect, information, account, report",incorrect; information; account; report,8.68,0.29,0.0,220,25.3,1.000,Credit reporting or other personal consumer reports (670); Credit reporting (88); Mortgage (4),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (265); EQUIFAX, INC. (207); Experian Information Solutions Inc. (205)",FL (109); TX (102); CA (97),2470062; 2474360; 2474082; 2478466; 2484120,
3,volume_spike,,Volume spike: product=Debt collection,,1.27,0.00,0.0,252,199.2,0.798,,,,,product=Debt collection
4,surging,210,"Topic 210: investigation, problem, days, took, existing",investigation; problem; days; took; existing,3.30,0.25,0.0,11,3.3,1.000,Credit reporting or other personal consumer reports (56),"EQUIFAX, INC. (22); Experian Information Solutions Inc. (20); TRANSUNION INTERMEDIATE HOLDINGS, INC. (14)",CA (10); TX (8); FL (6),7891537; 7914330; 8118820; 8616065; 8846602,
5,surging,301,"Topic 301: investigation, problem, days, took, existing",investigation; problem; days; took; existing,3.14,0.25,0.0,11,3.5,1.000,Credit reporting or other personal consumer reports (63),"EQUIFAX, INC. (26); TRANSUNION INTERMEDIATE HOLDINGS, INC. (22); Experian Information Solutions Inc. (14)",TX (12); FL (8); GA (6),8203439; 8464034; 8505710; 9137407; 9894194,
6,surging,507,"Topic 507: investigation, problem, error, fix, did",investigation; problem; error; fix; did,6.67,0.35,0.0,10,1.5,1.000,Credit reporting or other personal consumer reports (34),"Experian Information Solutions Inc. (14); EQUIFAX, INC. (9); TRANSUNION INTERMEDIATE HOLDINGS, INC. (7)",PA (4); TN (4); NY (4),7554945; 7582759; 7788520; 7916152; 7915554,
7,surging,763,"Topic 763: investigation, problem, days, took, existing",investigation; problem; days; took; existing,20.00,0.57,0.0,10,0.5,1.000,Credit reporting or other personal consumer reports (23),"Experian Information Solutions Inc. (8); EQUIFAX, INC. (8); TRANSUNION INTERMEDIATE HOLDINGS, INC. (6)",FL (5); TX (4); MD (2),8793650; 8960857; 9448669; 9726462; 9971181,
8,surging,151,"Topic 151: investigation, problem, error, fix, did",investigation; problem; error; fix; did,3.86,0.17,0.0,9,2.3,1.000,Credit reporting or other personal consumer reports (62); Credit card (1),"Experian Information Solutions Inc. (29); TRANSUNION INTERMEDIATE HOLDINGS, INC. (17); EQUIFAX, INC. (15)",FL (10); TX (9); GA (7),7523261; 7585839; 7585603; 7588957; 7823226,
9,surging,479,"Topic 479: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.23,0.19,0.0,7,2.2,1.000,Credit reporting or other personal consumer reports (34); Credit reporting (3),"EQUIFAX, INC. (15); TRANSUNION INTERMEDIATE HOLDINGS, INC. (10); Experian Information Solutions Inc. (6)",FL (8); GA (5); NJ (4),5930976; 6200794; 6474768; 7843952; 8352851,
10,surging,574,"Topic 574: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.23,0.25,0.0,7,2.2,1.000,Credit reporting or other personal consumer reports (35); Credit reporting (5),"Experian Information Solutions Inc. (18); TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); EQUIFAX, INC. (7)",TX (6); GA (5); AL (3),5462083; 5673016; 6224844; 6452912; 6652276,
11,surging,577,"Topic 577: status, incorrect, account, information, report",status; incorrect; account; information; report,4.20,0.22,0.0,7,1.7,1.000,Credit reporting or other personal consumer reports (32); Credit reporting (6); Credit card (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); Experian Information Solutions Inc. (12); EQUIFAX, INC. (10)",TX (9); FL (4); CA (4),2676394; 3088826; 4175182; 5125117; 6851305,
12,surging,1417,"Topic 1417: status, incorrect, account, information, report",status; incorrect; account; information; report,5.25,0.31,0.0,7,1.3,1.000,Credit reporting or other personal consumer reports (26); Credit reporting (4); Credit card (2),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (15); Experian Information Solutions Inc. (7); EQUIFAX, INC. (6)",TX (7); NY (6); NJ (3),2916825; 4635701; 5386730; 7015443; 8148998,
13,surging,1778,"Topic 1778: information, belongs, incorrect, report",information; belongs; incorrect; report,6.00,0.29,0.0,7,1.2,1.000,Credit reporting or other personal consumer reports (24); Credit reporting (7),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (15); EQUIFAX, INC. (10); Experian Information Solutions Inc. (5)",TX (7); TN (3); GA (3),3232616; 3525388; 3797462; 3936905; 3986614,
14,surging,72,"Topic 72: investigation, problem, error, fix, did",investigation; problem; error; fix; did,4.50,0.19,0.0,6,1.3,1.000,Credit reporting or other personal consumer reports (53),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (24); EQUIFAX, INC. (19); Experian Information Solutions Inc. (8)",FL (13); CA (7); TX (5),7483403; 7542981; 7908069; 8071292; 8458747,
15,surging,311,"Topic 311: information, belongs, incorrect, report",information; belongs; incorrect; report,5.14,0.23,0.0,6,1.2,1.000,Credit reporting or other personal consumer reports (25); Credit reporting (5),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); EQUIFAX, INC. (12); Experian Information Solutions Inc. (3)",NY (5); TX (4); FL (4),3315038; 4825873; 5576375; 6102773; 6836378,
16,surging,361,"Topic 361: information, belongs, incorrect, report",information; belongs; incorrect; report,3.60,0.24,0.0,6,1.7,1.000,Credit reporting or other personal consumer reports (26); Credit reporting (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (16); Experian Information Solutions Inc. (7); EQUIFAX, INC. (4)",TX (6); FL (5); IL (2),4314064; 5529133; 7267102; 7921353; 10366642,
17,surging,395,"Topic 395: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.27,0.14,0.0,6,1.8,1.000,Credit reporting or other personal consumer reports (42); Credit reporting (2),"EQUIFAX, INC. (19); TRANSUNION INTERMEDIATE HOLDINGS, INC. (13); Experian Information Solutions Inc. (10)",FL (8); TX (7); SC (3),4516846; 7228706; 7860221; 9638420; 9680957,
18,surging,602,"Topic 602: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.60,0.24,0.0,6,1.7,1.000,Credit reporting or other personal consumer reports (32); Credit reporting (2),"Experian Information Solutions Inc. (12); EQUIFAX, INC. (9); TRANSUNION INTERMEDIATE HOLDINGS, INC. (8)",NJ (5); FL (4); NY (3),6692345; 7360800; 8919877; 8943566; 9645102,
19,surging,947,"Topic 947: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,6.00,0.29,0.0,6,1.0,1.000,Credit reporting or other personal consumer reports (31); Credit reporting (3),"Experian Information Solutions Inc. (14); EQUIFAX, INC. (11); TRANSUNION INTERMEDIATE HOLDINGS, INC. (9)",TX (6); GA (6); FL (3),5530655; 5877485; 7366110; 7560186; 7609670,
20,surging,1232,"Topic 1232: investigation, problem, notified, results, status",investigation; problem; notified; results; status,5.14,0.20,0.0,6,1.2,1.000,Credit reporting or other personal consumer reports (37); Credit card (9),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (18); Experian Information Solutions Inc. (16); EQUIFAX, INC. (10)",TX (12); FL (5); IL (4),7556442; 7590873; 7795473; 7938245; 8024438,
21,surging,1278,"Topic 1278: making, payments, problem, money, sending",making; payments; problem; money; sending,7.20,0.13,0.0,6,0.8,1.000,"Personal loan (35); Payday loan, title loan, personal loan, or advance loan (22); Bank account (7)",PNC Bank N.A. (5); WELLS FARGO & COMPANY (5); MoneyLion Inc. (5),CA (10); NY (5); GA (5),2273078; 2275238; 2289202; 2332520; 2351288,
22,surging,1381,"Topic 1381: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,4.50,0.27,0.0,6,1.3,1.000,Credit reporting or other personal consumer reports (26); Credit reporting (4),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (10); Experian Information Solutions Inc. (9); EQUIFAX, INC. (8)",CA (5); FL (3); GA (2),3861266; 5611030; 5922946; 7220876; 9077269,
23,surging,1583,"Topic 1583: threatened, suggested, damaged, negative, action",threatened; suggested; damaged; negative; action,9.00,0.40,0.0,6,0.7,1.000,Debt collection (25),Resurgent Capital Services L.P. (5); Experian Information Solutions Inc. (3); ENCORE CAPITAL GROUP INC. (2),GA (8); TX (2); TN (2),3166325; 3211572; 3348222; 3399088; 3536616,
24,surging,1629,"Topic 1629: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,5.14,0.21,0.0,6,1.2,1.000,Credit reporting or other personal consumer reports (29); Credit reporting (5),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (14); Experian Information Solutions Inc. (11); EQUIFAX, INC. (9)",GA (6); CA (6); FL (3),5653169; 5694728; 6142790; 7370939; 7369211,
25,surging,1681,"Topic 1681: information, belongs, incorrect, report",information; belongs; incorrect; report,3.60,0.19,0.0,6,1.7,1.000,Credit reporting or other personal consumer reports (25); Credit reporting (7),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (14); Experian Information Solutions Inc. (9); EQUIFAX, INC. (7)",CA (6); FL (5); AL (4),3118163; 3538670; 4074064; 6393661; 6612342,
26,surging,2119,"Topic 2119: information, belongs, incorrect, report",information; belongs; incorrect; report,6.00,0.27,0.0,6,1.0,1.000,Credit reporting or other personal consumer reports (20); Credit reporting (6),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (10); EQUIFAX, INC. (7); Experian Information Solutions Inc. (6)",CA (4); FL (3); GA (2),3502235; 4313223; 5054670; 6066835; 6200136,
27,surging,2472,"Topic 2472: information, belongs, incorrect, report",information; belongs; incorrect; report,3.27,0.34,0.0,6,1.8,1.000,Credit reporting or other personal consumer reports (31); Credit reporting (1),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (11); EQUIFAX, INC. (9); Experian Information Solutions Inc. (9)",TX (6); FL (6); GA (5),3866100; 7689791; 8496439; 8767567; 9162575,
28,surging,18,"Topic 18: status, incorrect, account, information, report",status; incorrect; account; information; report,10.00,0.23,0.0,5,0.5,1.000,Credit reporting or other personal consumer reports (20); Credit reporting (6),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (10); EQUIFAX, INC. (9); Experian Information Solutions Inc. (6)",TX (5); FL (4); NY (3),3663246; 4491147; 4939838; 4974413; 6967687,
29,surging,41,"Topic 41: information, belongs, incorrect, report",information; belongs; incorrect; report,3.75,0.20,0.0,5,1.3,1.000,Credit reporting or other personal consumer reports (25); Credit reporting (5),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (12); EQUIFAX, INC. (10); Experian Information Solutions Inc. (5)",GA (4); FL (3); NY (3),2806487; 3017445; 3430609; 3811848; 4813082,
30,surging,397,"Topic 397: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,4.29,0.19,0.0,5,1.2,1.000,Credit reporting or other personal consumer reports (25); Credit reporting (2),"EQUIFAX, INC. (10); TRANSUNION INTERMEDIATE HOLDINGS, INC. (7); Experian Information Solutions Inc. (7)",TX (6); FL (4); PA (3),5476872; 7437908; 7944101; 8346609; 10285913,
31,surging,552,"Topic 552: information, belongs, incorrect, report",information; belongs; incorrect; report,7.50,0.29,0.0,5,0.7,1.000,Credit reporting or other personal consumer reports (19); Credit reporting (2),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (9); Experian Information Solutions Inc. (9); EQUIFAX, INC. (2)",TX (5); CA (3); FL (3),4423047; 7284379; 7515353; 8340659; 11005248,
32,surging,609,"Topic 609: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.75,0.19,0.0,5,1.3,1.000,Credit reporting or other personal consumer reports (31),"Experian Information Solutions Inc. (14); TRANSUNION INTERMEDIATE HOLDINGS, INC. (9); EQUIFAX, INC. (5)",FL (5); NC (4); GA (3),8614425; 8751573; 9897343; 10304508; 10424814,
33,surging,1258,"Topic 1258: bad, servicer, dealing, received, lender",bad; servicer; dealing; received; lender,15.00,0.11,0.0,5,0.3,1.000,Student loan (44),"MOHELA (12); Navient Solutions, LLC. (11); AES/PHEAA (7)",NY (5); MA (4); TX (4),2484502; 2578974; 2741968; 2961972; 2994685,
34,surging,1323,"Topic 1323: debt, attempts, owed, collect",debt; attempts; owed; collect,4.29,0.11,0.0,5,1.2,1.000,Debt collection (46),"CL Holdings LLC (6); Resurgent Capital Services L.P. (4); TRANSUNION INTERMEDIATE HOLDINGS, INC. (3)",FL (5); GA (4); TX (4),2595952; 2668448; 2755204; 2798535; 2832136,
35,surging,1451,"Topic 1451: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,6.00,0.21,0.0,5,0.8,1.000,Credit reporting or other personal consumer reports (21); Credit reporting (3),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (9); Experian Information Solutions Inc. (7); EQUIFAX, INC. (6)",FL (6); NY (3); CA (2),5864478; 6230149; 6421580; 8899812; 9991627,
36,surging,1989,"Topic 1989: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.33,0.24,0.0,5,1.5,1.000,Credit reporting or other personal consumer reports (31); Credit reporting (3),"EQUIFAX, INC. (16); Experian Information Solutions Inc. (8); TRANSUNION INTERMEDIATE HOLDINGS, INC. (8)",TX (5); MD (4); FL (4),5449755; 5485964; 5533843; 8045007; 8129217,
37,surging,2039,"Topic 2039: information, belongs, incorrect, report",information; belongs; incorrect; report,5.00,0.35,0.0,5,1.0,1.000,Credit reporting or other personal consumer reports (23),"EQUIFAX, INC. (11); Experian Information Solutions Inc. (10); TRANSUNION INTERMEDIATE HOLDINGS, INC. (2)",TX (4); FL (3); CA (3),8010367; 8138186; 9209076; 11172373; 11468924,
38,surging,2055,"Topic 2055: information, belongs, incorrect, report",information; belongs; incorrect; report,10.00,0.20,0.0,5,0.5,1.000,Credit reporting or other personal consumer reports (20); Credit reporting (5),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (9); Experian Information Solutions Inc. (9); EQUIFAX, INC. (7)",TX (5); CA (5); FL (4),3334193; 3963247; 4002155; 6420438; 6807381,
39,surging,2084,"Topic 2084: personal, incorrect, information, report",personal; incorrect; information; report,4.29,0.14,0.0,5,1.2,1.000,Credit reporting or other personal consumer reports (37); Credit reporting (20); Credit card (1),"Experian Information Solutions Inc. (19); TRANSUNION INTERMEDIATE HOLDINGS, INC. (19); EQUIFAX, INC. (17)",FL (13); TX (6); CA (6),2835785; 2863788; 3076933; 3122917; 3337192,
40,surging,2168,"Topic 2168: used, improperly, reporting, improper, use",used; improperly; reporting; improper; use,3.75,0.18,0.0,5,1.3,1.000,Credit reporting or other personal consumer reports (32); Credit reporting (1),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (14); EQUIFAX, INC. (9); Experian Information Solutions Inc. (8)",TX (8); LA (3); CA (3),5458139; 8205205; 8903972; 9083457; 9255924,
41,surging,2176,"Topic 2176: information, belongs, incorrect, report",information; belongs; incorrect; report,5.00,0.21,0.0,5,1.0,1.000,Credit reporting or other personal consumer reports (22); Credit reporting (7),"Experian Information Solutions Inc. (10); EQUIFAX, INC. (9); TRANSUNION INTERMEDIATE HOLDINGS, INC. (8)",TX (4); FL (3); AL (2),3280597; 3425959; 3940256; 4734299; 5350658,
42,surging,2183,"Topic 2183: information, belongs, incorrect, report",information; belongs; incorrect; report,4.29,0.18,0.0,5,1.2,1.000,Credit reporting or other personal consumer reports (25); Credit reporting (3),"Experian Information Solutions Inc. (13); TRANSUNION INTERMEDIATE HOLDINGS, INC. (9); EQUIFAX, INC. (6)",FL (5); TX (4); OH (4),3991344; 5092811; 5767899; 7621320; 8676888,
43,surging,2561,"Topic 2561: information, belongs, incorrect, report",information; belongs; incorrect; report,3.75,0.17,0.0,5,1.3,1.000,Credit reporting or other personal consumer reports (22); Credit reporting (7),"Experian Information Solutions Inc. (11); EQUIFAX, INC. (9); TRANSUNION INTERMEDIATE HOLDINGS, INC. (8)",FL (7); MD (3); TX (3),3081814; 3520815; 3538277; 4971851; 4973682,
44,surging,2624,"Topic 2624: incorrect, information, account, report",incorrect; information; account; report,6.00,0.24,0.0,5,0.8,1.000,Credit reporting or other personal consumer reports (19); Credit reporting (2),"TRANSUNION INTERMEDIATE HOLDINGS, INC. (8); Experian Information Solutions Inc. (6); EQUIFAX, INC. (5)",CA (5); GA (4); TX (4),6207230; 7030419; 9679257; 10356886; 10582576,
45,surging,2660,"Topic 2660: incorrect, information, account, report",incorrect; information; account; report,5.00,0.14,0.0,5,1.0,1.000,Credit reporting or other personal consumer reports (35); Credit reporting (2),"EQUIFAX, INC. (13); TRANSUNION INTERMEDIATE HOLDINGS, INC. (12); Experian Information Solutions Inc. (8)",FL (7); CA (6); GA (5),2701109; 6756757; 7670602; 7691118; 8332639,
46,surging,2690,"Topic 2690: incorrect, information, account, report",incorrect; information; account; report,6.00,0.22,0.0,5,0.8,1.000,Credit reporting or other personal consumer reports (16); Credit reporting (5); Credit card (1),"EQUIFAX, INC. (8); Experian Information Solutions Inc. (7); TRANSUNION INTERMEDIATE HOLDINGS, INC. (4)",FL (7); TX (5); NJ (2),5325833; 5648487; 5677073; 6045299; 7070715,
47,surging,2740,"Topic 2740: information, belongs, incorrect, report",information; belongs; incorrect; report,6.00,0.29,0.0,5,0.8,1.000,Credit reporting or other personal consumer reports (14); Credit reporting (3),"Experian Information Solutions Inc. (8); TRANSUNION INTERMEDIATE HOLDINGS, INC. (5); EQUIFAX, INC. (3)",FL (4); CA (2); GA (2),3634085; 3636296; 7093362; 9321129; 9736237,
48,surging,14,"Topic 14: alerts, freezes, security, fraud, problem",alerts; freezes; security; fraud; problem,4.00,0.07,0.0,4,1.0,1.000,Credit reporting (36); Credit reporting or other personal consumer reports (35); Bank account (1),"Experian Information Solutions Inc. (22); EQUIFAX, INC. (21); TRANSUNION INTERMEDIATE HOLDINGS, INC. (9)",FL (13); TX (10); NY (6),2568880; 2642609; 2667696; 2678441; 2683811,
49,surging,15,"Topic 15: alerts, freezes, security, fraud, problem",alerts; freezes; security; fraud; problem,3.43,0.08,0.0,4,1.2,1.000,Credit reporting or other personal consumer reports (41); Credit reporting (34),"Experian Information Solutions Inc. (24); TRANSUNION INTERMEDIATE HOLDINGS, INC. (21); EQUIFAX, INC. (19)",TX (16); FL (10); GA (9),2489216; 2672828; 2679983; 2682417; 2704685,
50,surging,29,"Topic 29: status, incorrect, account, information, report",status; incorrect; account; information; report,12.00,0.17,0.0,4,0.3,1.000,Credit reporting or other personal consumer reports (18); Credit reporting (5),"EQUIFAX, INC. (7); Experian Information Solutions Inc. (6); TRANSUNION INTERMEDIATE HOLDINGS, INC. (5)",NY (6); NC (3); PA (2),2793785; 6441807; 6504172; 6530879; 6721695,
